FINAL HEAT OF FORMATION =     -1513.8646384330  time =       0.0000000000
  6        3.4996821041       2.1113558102      -4.1386823550
  6       -1.7063875095      -1.0861411610       0.7183229034
  7       -0.9814846402       4.0585324692      -0.1867960995
  1        0.0142040713      -1.3588252106       0.8947094534
  1        0.5286140770      -0.1783532437       0.6472819500
  6       -1.3161977481       0.8932290738       1.7391404272
  8        2.0622253398       0.1819486730      -0.9882721859
  7       -6.3820840364      -3.8995717215      -0.3911468625
  6        8.8735041874       3.9628963577       4.5719875637
  7       -1.0552394061      -2.6158566433      -0.8395395152
  1        1.0324530002       0.3641771225      -0.2919130802
  1       -0.5954216382       0.0955084372      -0.8437376733
  1       -3.9738678013      -2.5288999634      -0.8913545262
FINAL HEAT OF FORMATION =     -1513.8646716248  time =       0.1000000000
  6        3.5033770223       2.1077710937      -4.1393306205
  6       -1.7113861208      -1.0876857193       0.7171819210
  7       -0.9825655694       4.0571615001      -0.1856785801
  1        0.0147482973      -1.3584161829       0.8939586271
  1        0.5283469904      -0.1784702564       0.6461515700
  6       -1.3146273812       0.8932900348       1.7382658450
  8        2.0607471694       0.1817880060      -0.9875247269
  7       -6.3806699302      -3.8985184272      -0.3909889994
  6        8.8717248659       3.9617446710       4.5712958663
  7       -1.0541298288      -2.6151143979      -0.8406877878
  1        1.0304653686       0.3634743106      -0.2914595310
  1       -0.5943952748       0.0958652087      -0.8424268205
  1       -3.9716356086      -2.5228898413      -0.8887567633
FINAL HEAT OF FORMATION =     -1513.8647065242  time =       0.2000000000
  6        3.5150054050       2.0955038593      -4.1412353724
  6       -1.7268810311      -1.0907901427       0.7136831783
  7       -0.9858687431       4.0530529111      -0.1823561506
  1        0.0163919609      -1.3572090114       0.8917248551
  1        0.5275461195      -0.1788168553       0.6427603532
  6       -1.3099083462       0.8935013467       1.7356545223
  8        2.0563155303       0.1813037729      -0.9852842862
  7       -6.3764112994      -3.8953704422      -0.3905170871
  6        8.8663775148       3.9583057170       4.5692630462
  7       -1.0508015569      -2.6128746491      -0.8441135648
  1        1.0245083200       0.3613665454      -0.2901011762
  1       -0.5913205188       0.0969293681      -0.8384992223
  1       -3.9649533550      -2.5049024197      -0.8809790955
