## time(fs)    Temp(current)       Temp(thermostat)
       0.1000000000       1.3630406897       0.0000000000
       0.2000000000       5.4441234207       0.0000000000
       0.3000000000      12.2212909301       0.0000000000
       0.4000000000      22.0486349171       0.0000000000
       0.5000000000      34.9894521139       0.0000000000
       0.6000000000      51.0224548184       0.0000000000
       0.7000000000      70.0423708244       0.0000000000
       0.8000000000      91.9673768954       0.0000000000
       0.9000000000     116.6995382538       0.0000000000
       1.0000000000     144.1207444517       0.0000000000
       1.1000000000     174.1137254610       0.0000000000
       1.2000000000     206.5510394225       0.0000000000
       1.3000000000     241.2981589018       0.0000000000
       1.4000000000     278.2159169421       0.0000000000
       1.5000000000     317.1609374806       0.0000000000
       1.6000000000     357.9868382083       0.0000000000
       1.7000000000     400.5456040133       0.0000000000
       1.8000000000     444.6888311138       0.0000000000
       1.9000000000     490.2688022068       0.0000000000
       2.0000000000     537.1394214697       0.0000000000
       2.1000000000     585.1573057200       0.0000000000
       2.2000000000     634.1829169884       0.0000000000
       2.3000000000     684.0811542181       0.0000000000
       2.4000000000     734.7221138146       0.0000000000
       2.5000000000     785.9816927480       0.0000000000
       2.6000000000     837.7422113414       0.0000000000
       2.7000000000     889.8927636251       0.0000000000
       2.8000000000     942.3293699822       0.0000000000
       2.9000000000     994.9553048714       0.0000000000
       3.0000000000    1047.6810623116       0.0000000000
       3.1000000000    1100.4242713829       0.0000000000
       3.2000000000    1153.1095564547       0.0000000000
       3.3000000000    1205.6682160995       0.0000000000
       3.4000000000    1258.0379119803       0.0000000000
       3.5000000000    1310.1622101091       0.0000000000
       3.6000000000    1361.9900449292       0.0000000000
       3.7000000000    1413.4751983635       0.0000000000
       3.8000000000    1464.5756734552       0.0000000000
       3.9000000000    1515.2530421184       0.0000000000
       4.0000000000    1565.4718583195       0.0000000000
       4.1000000000    1615.1990401509       0.0000000000
       4.2000000000    1664.4032288999       0.0000000000
       4.3000000000    1713.0542292854       0.0000000000
       4.4000000000    1761.1225104683       0.0000000000
       4.5000000000    1808.5787534246       0.0000000000
       4.6000000000    1855.3934571439       0.0000000000
       4.7000000000    1901.5366317301       0.0000000000
       4.8000000000    1946.9776124851       0.0000000000
       4.9000000000    1991.6849255844       0.0000000000
       5.0000000000    2035.6262513074       0.0000000000
       5.1000000000    2078.7685162503       0.0000000000
       5.2000000000    2121.0780377269       0.0000000000
       5.3000000000    2162.5207757380       0.0000000000
       5.4000000000    2203.0626615266       0.0000000000
       5.5000000000    2242.6699819552       0.0000000000
       5.6000000000    2281.3098356636       0.0000000000
       5.7000000000    2318.9506315518       0.0000000000
       5.8000000000    2355.5626151842       0.0000000000
       5.9000000000    2391.1184116327       0.0000000000
       6.0000000000    2425.5935758262       0.0000000000
       6.1000000000    2458.9671249626       0.0000000000
       6.2000000000    2491.2220444881       0.0000000000
       6.3000000000    2522.3457534556       0.0000000000
       6.4000000000    2552.3305172843       0.0000000000
       6.5000000000    2581.1737891036       0.0000000000
       6.6000000000    2608.8784719897       0.0000000000
       6.7000000000    2635.4531159393       0.0000000000
       6.8000000000    2660.9120068343       0.0000000000
       6.9000000000    2685.2751537008       0.0000000000
       7.0000000000    2708.5681989001       0.0000000000
       7.1000000000    2730.8222196197       0.0000000000
       7.2000000000    2752.0734348249       0.0000000000
       7.3000000000    2772.3628120132       0.0000000000
       7.4000000000    2791.7355943159       0.0000000000
       7.5000000000    2810.2407513593       0.0000000000
       7.6000000000    2827.9303456892       0.0000000000
       7.7000000000    2844.8588412719       0.0000000000
       7.8000000000    2861.0823713038       0.0000000000
       7.9000000000    2876.6579561397       0.0000000000
       8.0000000000    2891.6426964726       0.0000000000
       8.1000000000    2906.0929569705       0.0000000000
       8.2000000000    2920.0635471880       0.0000000000
       8.3000000000    2933.6069156818       0.0000000000
       8.4000000000    2946.7723789098       0.0000000000
       8.5000000000    2959.6053855879       0.0000000000
       8.6000000000    2972.1468269247       0.0000000000
       8.7000000000    2984.4324235938       0.0000000000
       8.8000000000    2996.4921813942       0.0000000000
       8.9000000000    3008.3499269322       0.0000000000
       9.0000000000    3020.0229475299       0.0000000000
       9.1000000000    3031.5217191581       0.0000000000
       9.2000000000    3042.8497392415       0.0000000000
       9.3000000000    3054.0034740555       0.0000000000
       9.4000000000    3064.9724027571       0.0000000000
       9.5000000000    3075.7391772950       0.0000000000
       9.6000000000    3086.2798797060       0.0000000000
       9.7000000000    3096.5643797050       0.0000000000
       9.8000000000    3106.5567887283       0.0000000000
       9.9000000000    3116.2159937679       0.0000000000
      10.0000000000    3125.4962643395       0.0000000000
