## time(fs)    Temp(current)       Temp(thermostat)
       0.1000000000     202.7043239126     300.0000000000
       0.2000000000     219.1311086186     300.0000000000
       0.3000000000     230.3434150666     300.0000000000
       0.4000000000     230.7731839548     300.0000000000
       0.5000000000     232.0071136304     300.0000000000
       0.6000000000     224.8903783641     300.0000000000
       0.7000000000     223.1603376323     300.0000000000
       0.8000000000     216.0998297095     300.0000000000
       0.9000000000     214.0651739618     300.0000000000
       1.0000000000     204.8635462539     300.0000000000
