FINAL HEAT OF FORMATION =      -849.7746243362  time =       0.0000000000
  6        1.5492292054      -0.4476588620       0.5281581021
  6        0.2236227816      -1.1647165161      -0.0089286143
  6       -0.9103934113      -0.9753906127      -0.0004691678
  6       -0.5294057068       0.5718027536       0.0936975999
  6       -1.5399730886       0.8250188293       0.0261992295
  6        2.6502542347       0.8673987004      -0.1698632586
  1       -1.3949522344       0.3488445179      -0.1027353127
  1       -0.2891757855       0.7228012617      -0.1304759276
  1        0.5657850826      -0.2030732289      -0.1664287854
  1       -0.2807739590      -0.2883324577       0.1854416032
  1       -0.2428959713       0.1751631162      -0.1697882581
  1        0.1986788527      -0.4318575018      -0.0848072101
FINAL HEAT OF FORMATION =      -849.7746288470  time =       0.1000000000
  6        1.4544285980      -0.3642915294       0.5282825200
  6        0.1517974315      -1.1267374287       0.0024703661
  6       -0.8131407814      -0.8922314523       0.0011118608
  6       -0.5339647720       0.4988602678       0.0906460835
  6       -1.4639331001       0.8808362333       0.0217539533
  6        2.6760219320       0.8735389745      -0.1700945411
  1       -1.3029882981       0.3291642250      -0.1008913371
  1       -0.2624459514       0.6493635762      -0.1419513189
  1        0.5142414581      -0.2722954044      -0.1714442341
  1       -0.3475601771      -0.2811938331       0.1919693642
  1       -0.2332456197       0.1680756070      -0.1682261030
  1        0.1607892801      -0.4630892358      -0.0836266136
FINAL HEAT OF FORMATION =      -849.7746327470  time =       0.2000000000
  6        1.3548263400      -0.2794367244       0.5283100108
  6        0.0785681298      -1.0864605207       0.0141971590
  6       -0.7151534600      -0.8093384798       0.0024482647
  6       -0.5391925173       0.4263039823       0.0877446764
  6       -1.3873966642       0.9360729631       0.0172665029
  6        2.6995758828       0.8783243990      -0.1702599217
  1       -1.2063193218       0.3083694760      -0.0990027440
  1       -0.2349151278       0.5739744011      -0.1537795251
  1        0.4626398391      -0.3409636891      -0.1761865371
  1       -0.4129264062      -0.2740288476       0.1983037448
  1       -0.2233350369       0.1605048332      -0.1665834906
  1        0.1236283425      -0.4933217932      -0.0824581401
FINAL HEAT OF FORMATION =      -849.7746359637  time =       0.3000000000
  6        1.2509230105      -0.1934795275       0.5282516300
  6        0.0043412918      -1.0441262877       0.0261855160
  6       -0.6168231428      -0.7268305389       0.0035319632
  6       -0.5452752490       0.3539617506       0.0850037845
  6       -1.3101757386       0.9907488545       0.0127322446
  6        2.7206207749       0.8817908990      -0.1703371613
  1       -1.1055196993       0.2865545006      -0.0970799323
  1       -0.2067207374       0.4969864884      -0.1659006756
  1        0.4111628116      -0.4088192371      -0.1806330738
  1       -0.4766845345      -0.2668540906       0.2044247789
  1       -0.2131869232       0.1524816200      -0.1648694097
  1        0.0873381361      -0.5224144313      -0.0813096643
FINAL HEAT OF FORMATION =      -849.7746384660  time =       0.4000000000
  6        1.1432963598      -0.1065359969       0.5281260886
  6       -0.0707339796      -1.0000756268       0.0383974452
  6       -0.5183315057      -0.6450110384       0.0043306025
  6       -0.5523302971       0.2819732448       0.0824400441
  6       -1.2323708773       1.0447573517       0.0081636244
  6        2.7390788198       0.8838024304      -0.1703114592
  1       -1.0011767093       0.2638146195      -0.0951455101
  1       -0.1780011269       0.4187550560      -0.1782703198
  1        0.3599863567      -0.4756079752      -0.1847529127
  1       -0.5386578223      -0.2596933688       0.2103133014
  1       -0.2028152548       0.1440430395      -0.1630870776
  1        0.0520560368      -0.5502217357      -0.0802038269
FINAL HEAT OF FORMATION =      -849.7746402265  time =       0.5000000000
  6        1.0325091733      -0.0187755242       0.5279492319
  6       -0.1464622850      -0.9546261071       0.0507858564
  6       -0.4198880070      -0.5641303655       0.0048225441
  6       -0.5604771660       0.2104157710       0.0800673723
  6       -1.1540262506       1.0980177869       0.0035679077
  6        2.7548369834       0.8842591646      -0.1701659853
  1       -0.8938750957       0.2402487154      -0.0932167756
  1       -0.1488922661       0.3396280619      -0.1908392286
  1        0.3092764926      -0.5410934110      -0.1885220939
  1       -0.5986808704      -0.2525677389       0.2159516150
  1       -0.1922369981       0.1352263213      -0.1612410399
  1        0.0179162896      -0.5766026743      -0.0791594041
FINAL HEAT OF FORMATION =      -849.7746412313  time =       0.6000000000
  6        0.9191219874       0.0696396327       0.5277345219
  6       -0.2226581692      -0.9080906871       0.0633051043
  6       -0.3216880780      -0.4844304407       0.0049883964
  6       -0.5698256009       0.1393734657       0.0778983811
  6       -1.0751930271       1.1504476021      -0.0010462546
  6        2.7677939691       0.8830577114      -0.1698844594
  1       -0.7841945195       0.2159574375      -0.0913097133
  1       -0.1195270092       0.2599455180      -0.2035584428
  1        0.2591901753      -0.6050537400      -0.1919195527
  1       -0.6565993642      -0.2454978150       0.2213234667
  1       -0.1814694590       0.1260705118      -0.1593357444
  1       -0.0149509047      -0.6014191964      -0.0781957030
FINAL HEAT OF FORMATION =      -849.7746414802  time =       0.7000000000
  6        0.8036823678       0.1585349949       0.5274945023
  6       -0.2991280432      -0.8607708235       0.0759091083
  6       -0.2239267518      -0.4061304910       0.0048114490
  6       -0.5804782219       0.0689179451       0.0759453469
  6       -0.9959108418       1.2019678302      -0.0056717315
  6        2.7778467429       0.8801087530      -0.1694501828
  1       -0.6727039197       0.1910427252      -0.0894382426
  1       -0.0900347088       0.1800379457      -0.2163786865
  1        0.2098747833      -0.6672831299      -0.1949276531
