## time(fs)    Temp(current)       Temp(thermostat)
       0.1000000000     196.0701466067       0.0000000000
       0.2000000000     199.3730942088       0.0000000000
       0.3000000000     202.2312402488       0.0000000000
       0.4000000000     204.6098520228       0.0000000000
       0.5000000000     206.4814727065       0.0000000000
       0.6000000000     207.8262124277       0.0000000000
       0.7000000000     208.6319054229       0.0000000000
       0.8000000000     208.8941312161       0.0000000000
       0.9000000000     208.6161043080       0.0000000000
       1.0000000000     207.8084402049       0.0000000000
